Year,Month,Day,LST,Solar Flare,Sunspot Number
2002,4,15,35.77,6.36,214
2002,4,16,29.81,1.62,175
2002,4,17,36.41,27.54,146
2002,4,18,41.03,2.29,164
2002,4,19,36.91,3.58,161
2002,4,20,40.03,0.94,158
2002,4,21,31.73,6.1,147
2002,4,22,38.11,1.85,144
2002,4,23,45.79,0.51,177
2002,4,24,42.87,8.39,232
2002,4,25,40.25,1.69,228
2002,4,26,42.01,0.84,156
2002,4,27,35.19,1.42,136
2002,4,28,35.01,0.98,110
2002,4,29,35.79,0.29,135
2002,4,30,34.09,4.59,132
2002,5,1,38.61,2.51,158
2002,5,2,26.75,3.95,177
2002,5,3,44.03,4.95,231
2002,5,4,40.33,1.81,258
2002,5,5,38.77,2.35,267
2002,5,6,36.59,1.75,231
2002,5,7,34.49,3.13,244
2002,5,8,37.55,7.92,220
2002,5,9,36.63,1.12,196
2002,5,10,38.57,6.06,207
2002,5,11,39.64,8.37,214
2002,5,12,25.91,2.75,202
2002,5,13,37.37,2.19,161
2002,5,14,31.87,2.81,118
2002,5,15,39.69,1.39,115
2002,5,16,31.85,5.05,130
2002,5,17,43.27,3.51,134
2002,5,18,38.85,2.95,144
2002,5,19,28.39,1.54,144
2002,5,20,37.55,8.94,166
2002,5,21,33.61,6.31,188
2002,5,22,40.47,1.91,213
2002,5,23,22.07,0.25,211
2002,5,24,36.29,2.4,199
2002,5,25,30.25,1.88,197
2002,5,26,33.01,3.53,188
2002,5,27,31.99,6.65,191
2002,5,28,31.47,1.16,185
2002,5,29,37.37,2.54,177
2002,5,30,30.63,2.95,160
2002,5,31,39.59,0.5,186
2002,6,1,39.07,3.13,181
2002,6,2,38.57,5.48,188
2002,6,3,35.81,3.04,194
2002,6,4,33.47,2.3,219
2002,6,5,43.01,0.27,184
2002,6,6,41.41,1.05,197
2002,6,7,35.79,0,197
2002,6,8,25.23,0.55,185
2002,6,9,32.21,0,165
2002,6,10,29.57,0.08,128
2002,6,11,31.65,1.59,99
2002,6,12,24.27,0.25,109
2002,6,13,23.99,1.15,80
2002,6,14,30.85,2.48,107
2002,6,15,27.02,0.91,102
2002,6,16,31.35,0.35,117
2002,6,17,34.65,0.5,88
2002,6,18,31.65,0.23,127
2002,6,19,35.47,0,115
2002,6,20,30.07,0.17,108
2002,6,21,33.41,0.21,83
2002,6,22,27.99,0.86,83
2002,6,23,34.53,7.73,95
2002,6,24,36.61,0.69,108
2002,6,25,31.21,0.17,111
2002,6,26,22.85,0.61,108
2002,6,27,36.69,0.19,96
2002,6,28,32.09,0.36,88
2002,6,29,28.69,0.3,96
2002,6,30,26.45,0.49,105
2002,7,1,29.19,1.04,94
2002,7,2,28.85,4.71,99
2002,7,3,30.78,18.78,129
2002,7,4,29.31,5.26,133
2002,7,5,24.41,3.77,142
2002,7,6,24.65,3.34,121
2002,7,7,24.89,0.33,107
2002,7,8,25.13,0,102
2002,7,9,25.37,0,103
2002,7,10,25.61,2.73,94
2002,7,11,35.57,4.06,99
2002,7,12,30.27,7.71,84
2002,7,13,31.97,2.55,116
2002,7,14,36.13,2.44,126
2002,7,15,28.97,42.64,155
2002,7,16,31.83,12.86,160
2002,7,17,28.63,12.89,147
2002,7,18,31.71,6.44,149
2002,7,19,31.54,4.02,134
2002,7,20,30.81,2.45,124
2002,7,21,31.17,0.23,124
2002,7,22,32.02,1.67,147
2002,7,23,31.52,16.94,196
2002,7,24,26.65,9.03,209
2002,7,25,28.05,1.77,215
2002,7,26,26.40,30.66,265
2002,7,27,30.29,2.02,294
2002,7,28,26.89,8.69,310
2002,7,29,26.91,13.78,293
2002,7,30,27.70,2.35,281
2002,7,31,28.87,8.73,239
2002,8,1,34.33,8.09,207
2002,8,2,30.07,5.52,199
2002,8,3,31.47,4.59,183
2002,8,4,39.46,0,143
2002,8,5,36.33,0.92,127
2002,8,6,42.27,4.56,131
2002,8,7,36.23,0.68,133
2002,8,8,36.01,0.83,115
2002,8,9,28.27,0.47,110
2002,8,10,31.49,0,110
2002,8,11,26.00,1.62,149
2002,8,12,24.10,2.02,177
2002,8,13,21.35,8.03,202
2002,8,14,28.89,12.67,267
2002,8,15,28.37,5.82,279
2002,8,16,30.47,29.66,263
2002,8,17,28.67,11.49,281
2002,8,18,37.81,15.8,270
2002,8,19,31.93,11.14,248
2002,8,20,26.13,14.22,211
2002,8,21,30.25,7.58,192
2002,8,22,34.41,23.84,172
2002,8,23,32.25,37.92,186
2002,8,24,30.91,10.54,149
2002,8,25,34.05,4.04,148
2002,8,26,31.51,6.15,119
2002,8,27,31.27,1.26,121
2002,8,28,36.25,3.39,122
2002,8,29,36.27,7.63,124
2002,8,30,38.37,9.96,146
2002,8,31,32.17,3.19,160
2002,9,1,36.45,3.42,206
2002,9,2,38.73,1.27,233
2002,9,3,36.43,1.31,252
2002,9,4,35.43,1.94,247
2002,9,5,39.93,6.21,226
2002,9,6,33.77,0.18,202
2002,9,7,36.41,0.2,206
2002,9,8,37.75,3.38,213
2002,9,9,33.49,6.24,199
2002,9,10,34.31,5.22,202
2002,9,11,29.83,2.21,187
2002,9,12,39.85,4.31,187
2002,9,13,39.17,1.26,187
2002,9,14,31.37,6.24,149
2002,9,15,34.41,4.84,166
2002,9,16,36.63,7.44,170
2002,9,17,34.01,23.12,199
2002,9,18,35.93,6.52,207
2002,9,19,41.63,5.04,192
2002,9,20,40.51,2.67,195
2002,9,21,38.19,1.1,182
2002,9,22,39.73,2.33,185
2002,9,23,27.67,1.29,192
2002,9,24,31.31,0.18,177
2002,9,25,32.57,1.43,190
2002,9,26,35.15,3.26,154
2002,9,27,29.87,4.97,154
2002,9,28,34.73,3.15,137
2002,9,29,33.11,5.36,130
2002,9,30,35.89,10.27,110
2002,10,1,36.55,1.71,90
2002,10,2,34.57,3.96,109
2002,10,3,32.93,8.1,104
2002,10,4,34.27,11.57,93
2002,10,5,32.21,5.56,118
2002,10,6,37.81,1.77,126
2002,10,7,30.79,0.37,123
2002,10,8,38.83,1.84,157
2002,10,9,43.49,0.19,164
2002,10,10,35.03,0.65,200
2002,10,11,37.45,6.9,188
2002,10,12,35.17,1.27,189
2002,10,13,37.25,13.11,185
2002,10,14,39.37,7.1,177
2002,10,15,37.33,2.5,180
2002,10,16,32.33,1.02,199
2002,10,17,36.13,2.38,171
2002,10,18,33.59,6.9,183
2002,10,19,32.21,10.9,186
2002,10,20,33.57,30.33,189
2002,10,21,30.43,8.77,144
2002,10,22,35.51,2.9,136
2002,10,23,29.09,5.23,119
2002,10,24,36.55,1.84,113
2002,10,25,44.61,7.19,119
2002,10,26,36.69,0.46,126
2002,10,27,37.13,5.52,130
2002,10,28,34.15,15.73,135
2002,10,29,35.29,10.77,177
2002,10,30,31.27,4.23,186
2002,10,31,37.15,2.88,171
2002,11,1,47.55,2.45,191
2002,11,2,37.05,2,177
2002,11,3,40.23,7.31,190
2002,11,4,34.75,6.14,165
2002,11,5,36.25,5.31,188
2002,11,6,32.07,7.52,211
2002,11,7,36.65,6.27,223
2002,11,8,42.37,7.83,188
2002,11,9,36.75,13.14,199
2002,11,10,46.55,8.79,194
2002,11,11,29.81,24.83,176
2002,11,12,35.58,8.57,154
2002,11,13,32.05,2.53,145
2002,11,14,30.27,2.15,160
2002,11,15,28.89,4.78,157
2002,11,16,32.57,5.11,137
2002,11,17,31.45,3.43,140
2002,11,18,33.95,1.59,128
2002,11,19,32.11,1.43,114
2002,11,20,31.43,2.45,145
2002,11,21,32.05,3.23,126
2002,11,22,30.19,3.97,122
2002,11,23,34.81,1.81,119
2002,11,24,34.83,9.87,103
2002,11,25,33.61,0.11,86
2002,11,26,33.93,0.16,76
2002,11,27,32.13,7.08,105
2002,11,28,33.73,2.3,108
2002,11,29,30.45,0.65,94
2002,11,30,35.19,0.23,94
2002,12,1,29.53,1.4,121
2002,12,2,33.15,2.43,110
2002,12,3,30.07,1.65,107
2002,12,4,32.15,2.84,134
2002,12,5,31.87,0,137
2002,12,6,30.23,0.44,137
2002,12,7,31.47,0,132
2002,12,8,28.37,1.53,164
2002,12,9,33.35,0.68,179
2002,12,10,28.59,2.94,157
2002,12,11,32.37,1,124
2002,12,12,31.87,0.99,109
2002,12,13,30.75,5.58,126
2002,12,14,32.87,7.08,208
2002,12,15,28.87,3.2,199
2002,12,16,34.07,14.09,216
2002,12,17,27.09,10.02,234
2002,12,18,29.41,5.82,224
2002,12,19,28.05,17.56,224
2002,12,20,29.35,3.73,208
2002,12,21,29.51,4.26,187
2002,12,22,28.73,0.21,174
2002,12,23,28.01,1.02,126
2002,12,24,27.09,3.27,95
2002,12,25,27.77,0.37,59
2002,12,26,25.67,1.06,54
2002,12,27,28.47,0.82,49
2002,12,28,25.99,0,45
2002,12,29,26.63,0.19,52
2002,12,30,26.33,0.19,49
2002,12,31,25.41,1.65,55
2003,1,1,29.29,1.11,52
2003,1,2,26.29,0.13,45
2003,1,3,31.01,5.17,110
2003,1,4,28.37,4.42,109
2003,1,5,26.75,2.44,114
2003,1,6,25.73,0.79,144
2003,1,7,28.03,5.49,151
2003,1,8,26.67,10.05,181
2003,1,9,24.33,9.12,182
2003,1,10,25.59,0.83,196
2003,1,11,23.87,5.87,196
2003,1,12,28.43,2.08,174
2003,1,13,26.43,2.43,157
2003,1,14,28.43,0.17,157
2003,1,15,26.97,0.69,141
2003,1,16,24.21,6.85,141
2003,1,17,31.19,0.15,136
2003,1,18,27.35,0.5,129
2003,1,19,32.73,1.28,146
2003,1,20,28.81,0.77,156
2003,1,21,29.33,2.53,114
2003,1,22,25.75,1.83,144
2003,1,23,26.89,8.15,117
2003,1,24,27.75,4.87,127
2003,1,25,28.47,1.31,99
2003,1,26,28.85,1.51,121
2003,1,27,25.89,1.64,142
2003,1,28,29.79,0,142
2003,1,29,27.13,1.13,141
2003,1,30,27.55,0.17,104
2003,1,31,32.09,0,69
2003,2,1,27.55,1.48,66
2003,2,2,32.87,1.16,71
2003,2,3,30.59,0,59
2003,2,4,33.87,0.56,58
2003,2,5,41.23,0.57,82
2003,2,6,31.69,6.86,112
2003,2,7,31.81,1.85,135
2003,2,8,31.97,0,143
2003,2,9,34.51,0.42,153
2003,2,10,31.69,0,120
2003,2,11,34.27,1.21,120
2003,2,12,29.03,5.43,117
2003,2,13,33.67,0.96,97
2003,2,14,29.57,1.16,74
2003,2,15,33.13,0.09,51
2003,2,16,33.37,0,33
2003,2,17,31.19,0,16
2003,2,18,35.19,1.57,33
2003,2,19,32.03,6.61,54
2003,2,20,37.01,2.13,72
2003,2,21,27.73,6.74,76
2003,2,22,35.35,1.1,56
2003,2,23,34.27,0,46
2003,2,24,34.21,2.17,46
2003,2,25,37.55,0.32,53
2003,2,26,31.59,0.09,49
2003,2,27,37.17,0,71
2003,2,28,33.57,0.97,56
2003,3,1,38.29,0.55,79
2003,3,2,37.67,1.44,97
2003,3,3,39.49,0,94
2003,3,4,37.35,0,132
2003,3,5,32.25,0.73,107
2003,3,6,34.79,0,104
2003,3,7,32.03,0.35,130
2003,3,8,38.35,1.19,109
2003,3,9,36.65,0.82,147
2003,3,10,39.81,0.45,117
2003,3,11,35.15,2.11,114
2003,3,12,35.19,0.64,92
2003,3,13,30.05,2.42,74
2003,3,14,30.67,0,96
2003,3,15,33.51,2.32,104
2003,3,16,26.15,6.77,102
2003,3,17,33.97,4.95,68
2003,3,18,33.43,45.54,71
2003,3,19,35.21,19.48,64
2003,3,20,36.69,1.35,48
2003,3,21,36.41,0.86,38
2003,3,22,40.35,0,13
2003,3,23,35.49,0,45
2003,3,24,43.63,0,54
2003,3,25,37.87,1.52,86
2003,3,26,39.11,1.34,115
2003,3,27,34.13,2.71,134
2003,3,28,43.93,0,150
2003,3,29,41.91,4.63,185
2003,3,30,34.87,0.32,185
2003,3,31,34.09,0.84,168
2003,4,1,26.31,2.31,152
2003,4,2,37.47,2.34,168
2003,4,3,39.67,3.52,147
2003,4,4,38.81,10.54,117
2003,4,5,42.89,3.03,98
2003,4,6,39.53,0.57,85
2003,4,7,42.91,0,78
